numero_autorisation,numero_dosage,denomination_medicament,titulaire_autorisation,categorie_medicament,numero_it,code_atc,date_premiere_autorisation,date_autorisation_dosage,duree_validite_amm,categorie_remise_dosage,categorie_remise_medicament,principes_actifs,champ_application_medicament,champ_application_dosage,indications_particulieres,cause_mortalite,annee
66684,1,"HyQvia 100 mg/ml, Infusionslösung zur subkutanen Anwendung",Takeda Pharma AG,Blutprodukte,08.09.,J06BA01,2020-01-08,2020-01-08,unbegrenzt,B,B,immunoglobulinum humanum normale,Substitutionstherapie bei Erwachsenen mit primärem Immundefektsyndrom mit unzureichender Antikörperbildung; Substitutionstherapie bei Erwachsenen mit Sekundären Immundefekten (SID).,,,maladie_infectieuses,2020
66696,1,"Cerdelga 84 mg, gélules",Sanofi-Aventis (Suisse) SA,Synthetika,07.99.0.,A16AX10,2020-02-19,2020-02-19,unbegrenzt,B,B,eliglustatum,Morbus Gaucher Typ 1,,,autre,2020
66801,1,"Crysvita 10 mg/1 ml, Injektionslösung",Kyowa Kirin Sàrl,Biotechnologika,07.99.0.,M05BX05,2020-01-20,2020-01-20,unbegrenzt,B,B,burosumabum,"X-chromosomale Hypophosphatämie (XLH) bei Erwachsenen, Jugendlichen und Kindern ab 1 Jahr",,,autre,2020
66801,2,"Crysvita 20 mg/1 ml, Injektionslösung",Kyowa Kirin Sàrl,Biotechnologika,07.99.0.,M05BX05,2020-01-20,2020-01-20,unbegrenzt,B,B,burosumabum,"X-chromosomale Hypophosphatämie (XLH) bei Erwachsenen, Jugendlichen und Kindern ab 1 Jahr",,,autre,2020
66801,3,"Crysvita 30 mg/1 ml, Injektionslösung",Kyowa Kirin Sàrl,Biotechnologika,07.99.0.,M05BX05,2020-01-20,2020-01-20,unbegrenzt,B,B,burosumabum,"X-chromosomale Hypophosphatämie (XLH) bei Erwachsenen, Jugendlichen und Kindern ab 1 Jahr",,,autre,2020
66828,1,"Idacio 40 mg/ 0.8 ml, Injektionslösung in Fertigspritze",Fresenius Kabi (Schweiz) AG,Biotechnologika,07.15.0.,L04AB04,2020-03-17,2020-03-17,unbegrenzt,B,B,adalimumabum,"Rheumatoide Arthritis, Polyartikuläre juvenile idiopathische Arthritis, Psoriasis-Arthritis, Ankylosierende Spondylitis, Morbus Crohn, Colitis ulcerosa, Plaque Psoriasis bei Erwachsenen, Hidradenitis suppurativa",,,cancer,2020
66852,1,"Nurofen Junior forte Erdbeer, Suspension zum Einnehmen",Reckitt Benckiser (Switzerland) AG,Synthetika,07.10.1.,M01AE01,2020-01-21,2020-01-21,unbegrenzt,B,B,ibuprofenum,"Antiphlogistikum, Analgetikum, Antipyretikum",,,autre,2020
66941,1,"Lorviqua 25 mg, Filmtabletten",Pfizer AG,Synthetika,07.16.1.,L01ED05,2020-02-19,2020-02-19,unbegrenzt,A,A,lorlatinibum,"Nicht kleinzelliges Lungenkarzinom (non small cell lung cancer, NSCLC)",,,cancer,2020
66941,2,"Lorviqua 100 mg, Filmtabletten",Pfizer AG,Synthetika,07.16.1.,L01ED05,2020-02-19,2020-02-19,unbegrenzt,A,A,lorlatinibum,"Nicht kleinzelliges Lungenkarzinom (non small cell lung cancer, NSCLC)",,,cancer,2020
67033,1,"Evenity 105 mg/1.17 ml, solution injectable en stylo prérempli",UCB-Pharma SA,Biotechnologika,07.99.0.,M05BX06,2020-07-01,2020-07-01,2029-07-18,B,B,romosozumabum,Traitement de l'ostéoporose grave chez les femmes après la ménopause,,,autre,2020
67046,1,"Zeposia 0.23 mg, Hartkapseln",Bristol-Myers Squibb SA,Synthetika,01.99.0.,L04AE02,2020-08-11,2020-08-11,unbegrenzt,B,B,ozanimodum,"Multiple Sklerose, Colitis Ulcerosa",,,cancer,2020
67046,2,"Zeposia 0.46 mg, Hartkapseln",Bristol-Myers Squibb SA,Synthetika,01.99.0.,L04AE02,2020-08-11,2020-08-11,unbegrenzt,B,B,ozanimodum,"Multiple Sklerose, Colitis Ulcerosa",,,cancer,2020
67046,3,"Zeposia 0.92 mg, Hartkapseln",Bristol-Myers Squibb SA,Synthetika,01.99.0.,L04AE02,2020-08-11,2020-08-11,unbegrenzt,B,B,ozanimodum,"Multiple Sklerose, Colitis Ulcerosa",,,cancer,2020
67083,1,"Vyndaqel 20 mg, Weichkapseln",Pfizer AG,Synthetika,01.99.0.,N07XX08,2020-03-05,2020-03-05,unbegrenzt,B,B,tafamidisum,Behandlung der Transthyretin-Amyloidose bei erwachsenen Patienten mit Wildtyp- oder hereditärer Kardiomyopathie,,,autre,2020
67094,2,"Libtayo 350 mg/7 ml, Konzentrat zur Herstellung einer Infusionslösung",Regeneron Switzerland GmbH,Biotechnologika,07.16.1.,L01FF06,2020-05-27,2020-05-27,2027-10-04,A,A,cemiplimabum,Onkologikum,,,cancer,2020
67103,1,"Spravato, Nasenspray, Lösung",Janssen-Cilag AG,Synthetika,01.06.0.,N06AX27,2020-02-25,2020-02-25,unbegrenzt,A,A,esketaminum,Antidepressivum,,,autre,2020
67138,1,"Pennsaid 2 g / 100 g, Gel",Gebro Pharma AG,Synthetika,07.10.4.,M02AA15,2020-01-13,2020-01-13,unbegrenzt,D,D,diclofenacum natricum,Perkutanes Antiphlogistikum,,,autre,2020
67153,1,"KAFA Liquid caps 500, capsules molles",Verfora SA,Synthetika,01.01.1.,N02BE01,2020-01-07,2020-01-07,unbegrenzt,D,D,paracetamolum,"Analgésique, Antipyrétique",,,autre,2020
67157,1,"Carbetocin Ferring 100 ug, Injektionslösung",Ferring AG,Synthetika,07.03.2.,H01BB03,2020-04-27,2020-04-27,unbegrenzt,A,A,carbetocinum,Prävention uteriner Blutungen aufgrund einer postpartalen Uterusatonie,,,autre,2020
67168,1,"Ampres intrathecal 10 mg/ml, soluzione iniettabile",Sintetica SA,Synthetika,01.02.2.,N01BA04,2020-02-28,2020-02-28,unbegrenzt,B,B,chloroprocaini hydrochloridum,Anestesia intratecale,,,autre,2020
67173,1,"Viferol D3 25'000 UI/ml, solution buvable",OM Pharma Suisse SA,Synthetika,07.02.3.,A11CC05,2020-03-18,2020-03-18,unbegrenzt,B,B,cholecalciferolum,"Prévention d’une carence en vitamine D chez les adultes présentant un risque identifiable de carence en vitamine D en cas de malabsorption.
Prévention d’une carence en vitamine D chez les adultes de plus de 60 ans.
Traitement de la carence en vitamine D chez les adultes et les adolescents à partir de 12 ans.",,,autre,2020
67180,2,"Rüedi Xylo PLUS Nasenspray, Dosierspray",Spirig HealthCare AG,Synthetika,12.02.2.,R01AB06,2020-01-08,2020-01-08,unbegrenzt,D,D,"xylometazolini hydrochloridum, dexpanthenolum",Schnupfen,,,appareil_respiratoire,2020
67211,1,"Xospata 40 mg, Filmtabletten",Astellas Pharma AG,Synthetika,07.16.1.,L01EX13,2020-09-24,2020-09-24,unbegrenzt,A,A,gilteritinibum,Akute myeloide Leukämie (AML),,Black Triangle,cancer,2020
