numero_autorisation,numero_dosage,denomination_medicament,titulaire_autorisation,categorie_medicament,numero_it,code_atc,date_premiere_autorisation,date_autorisation_dosage,duree_validite_amm,categorie_remise_dosage,categorie_remise_medicament,principes_actifs,champ_application_medicament,champ_application_dosage,indications_particulieres,cause_mortalite,annee
67223,1,"Trimbow 87/5/9 mcg, solution pour inhalation en flacon pressurisé",Chiesi SA,Synthetika,03.99.0.,R03AL09,2020-05-06,2020-05-06,unbegrenzt,B,B,"beclometasoni dipropionas, formoteroli fumaras dihydricus, glycopyrronium","Bronchopneumopathie chronique obstructive (BPCO) (Trimbow 87/5/9 mcg), Asthme (Trimbow 172/5/9 mcg)",,,appareil_respiratoire,2020
67223,2,"Trimbow 172/5/9 mcg, solution pour inhalation en flacon pressurisé",Chiesi SA,Synthetika,03.99.0.,R03AL09,2020-05-06,2022-09-30,unbegrenzt,B,B,"beclometasoni dipropionas, formoteroli fumaras dihydricus, glycopyrronium","Bronchopneumopathie chronique obstructive (BPCO) (Trimbow 87/5/9 mcg), Asthme (Trimbow 172/5/9 mcg)",,,appareil_respiratoire,2020
67230,1,"Mayzent 0.25 mg, Filmtabletten",Novartis Pharma Schweiz AG,Synthetika,01.99.0.,L04AE03,2020-10-22,2020-10-22,unbegrenzt,B,B,siponimodum,sekundär progrediente Multiple Sklerose (SPMS) bei Erwachsenen,,,cancer,2020
67230,2,"Mayzent 2.00 mg, Filmtabletten",Novartis Pharma Schweiz AG,Synthetika,01.99.0.,L04AE03,2020-10-22,2020-10-22,unbegrenzt,B,B,siponimodum,sekundär progrediente Multiple Sklerose (SPMS) bei Erwachsenen,,,cancer,2020
67230,3,"Mayzent 1.00 mg, Filmtabletten",Novartis Pharma Schweiz AG,Synthetika,01.99.0.,L04AE03,2020-10-22,2023-11-29,unbegrenzt,B,B,siponimodum,sekundär progrediente Multiple Sklerose (SPMS) bei Erwachsenen,,,cancer,2020
67232,1,"TravoTim-Vision, Augentropfen",OmniVision AG,Synthetika,11.09.0.,S01ED51,2020-04-24,2020-04-24,unbegrenzt,B,B,"travoprostum, timololum","Okuläre Hypertension, Offenwinkelglaukom",,,autre,2020
67233,1,"Zykadia, Filmtabletten",Novartis Pharma Schweiz AG,Synthetika,07.16.1.,L01ED02,2020-03-16,2020-03-16,unbegrenzt,A,A,ceritinibum,Onkologikum,,,cancer,2020
67238,1,"Quofenix 450 mg, Tabletten",A. Menarini GmbH,Synthetika,08.01.8.,J01MA23,2020-05-28,2020-05-28,unbegrenzt,A,A,delafloxacinum,"Akute bakterielle Haut- und Hautstrukturinfektionen (ABSSSI), ambulant erworbene Pneumonie (CAP)",,,maladie_infectieuses,2020
67239,1,"Quofenix 300 mg, Pulver für ein Konzentrat zur Herstellung einer Infusionslösung",A. Menarini GmbH,Synthetika,08.01.8.,J01MA23,2020-05-28,2020-05-28,unbegrenzt,A,A,delafloxacinum,"Akute bakterielle Haut- und Hautstrukturinfektionen (ABSSSI), ambulant erworbene Pneumonie (CAP)",,,maladie_infectieuses,2020
67240,1,"Co-Amoxicillin Spirig HC 625 mg (500/125), Filmtabletten",Spirig HealthCare AG,Synthetika,08.01.93,J01CR02,2020-02-19,2020-02-19,unbegrenzt,A,A,"amoxicillinum anhydricum, acidum clavulanicum",Infektionskrankheiten,,,maladie_infectieuses,2020
67241,1,"Co-Amoxicillin Spirig HC 1000 mg (875/125), Filmtabletten",Spirig HealthCare AG,Synthetika,08.01.93,J01CR02,2020-02-19,2020-02-19,unbegrenzt,A,A,"amoxicillinum anhydricum, acidum clavulanicum",Infektionskrankheiten,,,maladie_infectieuses,2020
67244,1,"Beovu 120mg/1ml, Injektionslösung in Fertigspritze",Novartis Pharma Schweiz AG,Biotechnologika,11.99.0.,S01LA06,2020-01-16,2020-01-16,unbegrenzt,B,B,brolucizumabum,altersbedingte Makuladegeneration (AMD) und diabetisches Makulaödem (DME),,,autre,2020
67245,1,"Beovu 120mg/1ml, Injektionslösung in Durchstechflasche",Novartis Pharma Schweiz AG,Biotechnologika,11.99.0.,S01LA06,2020-01-16,2020-01-16,unbegrenzt,B,B,brolucizumabum,altersbedingte Makuladegeneration (AMD) und diabetisches Makulaödem (DME),,,autre,2020
67257,1,"Rinvoq 15 mg, Retardtabletten",AbbVie AG,Synthetika,07.15.0.,L04AF03,2020-01-20,2020-01-20,unbegrenzt,B,B,upadacitinibum,"Rheumatoide Arthritis, Psoriasis-Arthritis, Ankylosierende Spondylitis (Morbus Bechterew), Atopische Dermatitis, Colitis ulcerosa, Morbus Crohn, Riesenzellarteriitis",,Black Box Warning,cancer,2020
67257,5,"Rinvoq 30 mg, Retardtabletten",AbbVie AG,Synthetika,07.15.0.,L04AF03,2020-01-20,2024-06-07,unbegrenzt,B,B,upadacitinibum,"Rheumatoide Arthritis, Psoriasis-Arthritis, Ankylosierende Spondylitis (Morbus Bechterew), Atopische Dermatitis, Colitis ulcerosa, Morbus Crohn, Riesenzellarteriitis",,Black Box Warning,cancer,2020
67257,6,"Rinvoq 45 mg, Retardtabletten",AbbVie AG,Synthetika,07.15.0.,L04AF03,2020-01-20,2024-06-07,unbegrenzt,B,B,upadacitinibum,"Rheumatoide Arthritis, Psoriasis-Arthritis, Ankylosierende Spondylitis (Morbus Bechterew), Atopische Dermatitis, Colitis ulcerosa, Morbus Crohn, Riesenzellarteriitis",,Black Box Warning,cancer,2020
67262,1,"Isturisa 1 mg, Filmtabletten",RECORDATI AG,Synthetika,07.16.,H02CA02,2020-10-12,2020-10-12,unbegrenzt,A,A,osilodrostatum,"Zur Behandlung von Morbus Cushing und anderen Ursachen eines endogenen Hypercortisolismus (z.B. Nebennierenrinden­ Adenom, bilaterale NNR-Hyperplasie, ektope ACTH-Sekretion)",,,autre,2020
67262,2,"Isturisa 5 mg, Filmtabletten",RECORDATI AG,Synthetika,07.16.,H02CA02,2020-10-12,2020-10-12,unbegrenzt,A,A,osilodrostatum,"Zur Behandlung von Morbus Cushing und anderen Ursachen eines endogenen Hypercortisolismus (z.B. Nebennierenrinden­ Adenom, bilaterale NNR-Hyperplasie, ektope ACTH-Sekretion)",,,autre,2020
67262,3,"Isturisa 10 mg, Filmtabletten",RECORDATI AG,Synthetika,07.16.,H02CA02,2020-10-12,2020-10-12,unbegrenzt,A,A,osilodrostatum,"Zur Behandlung von Morbus Cushing und anderen Ursachen eines endogenen Hypercortisolismus (z.B. Nebennierenrinden­ Adenom, bilaterale NNR-Hyperplasie, ektope ACTH-Sekretion)",,,autre,2020
67263,1,"Pheburane 483 mg/g, Granulat zur Herstellung einer Lösung zum Einnehmen",Medius AG,Synthetika,07.99.0.,A16AX03,2020-07-29,2020-07-29,unbegrenzt,B,B,natrii phenylbutyras,Zusatztherapie bei der Langzeitbehandlung von Stoffwechselstörungen des Harnstoffzyklus,,,autre,2020
67273,1,"Daptomycin Accord 350 mg, Pulver zur Herstellung einer Infusions-/Injektionslösung",Accord Healthcare AG,Synthetika,08.01.9.,J01XX09,2020-02-13,2020-02-13,unbegrenzt,A,A,daptomycinum,Infektionskrankheiten,,,maladie_infectieuses,2020
67273,2,"Daptomycin Accord 500 mg, Pulver zur Herstellung einer Infusions-/Injektionslösung",Accord Healthcare AG,Synthetika,08.01.9.,J01XX09,2020-02-13,2020-02-13,unbegrenzt,A,A,daptomycinum,Infektionskrankheiten,,,maladie_infectieuses,2020
67275,1,"Itulazax, Lyophilisat zur sublingualen Anwendung",ALK-Abelló AG,Allergen: Therapeutikum,07.13.3.,V01AA05,2020-05-19,2020-05-19,unbegrenzt,A,A,pollinis allergeni extractum (Betula pendula),allergische Rhinitis und/oder Konjunktivitis,,,autre,2020
67278,1,"Ultomiris 300 mg/30 ml, Konzentrat zur Herstellung einer Infusionslösung",Alexion Pharma GmbH,Biotechnologika,07.15.0.,L04AA43,2020-01-20,2020-01-20,unbegrenzt,A,A,ravulizumabum,"paroxysmale nächtliche Hämoglobinurie (PNH); atypisches Hämolytisch-Urämisches Syndrom (aHUS); generalisierte Myasthenia gravis, Neuromyelitis-optica-Spektrum-Erkrankungen (NMOSD)",,Black Triangle,cancer,2020
67278,2,"Ultomiris 300 mg/3 ml, Konzentrat zur Herstellung einer Infusionslösung",Alexion Pharma GmbH,Biotechnologika,07.15.0.,L04AA43,2020-01-20,2021-09-16,unbegrenzt,A,A,ravulizumabum,"paroxysmale nächtliche Hämoglobinurie (PNH); atypisches Hämolytisch-Urämisches Syndrom (aHUS); generalisierte Myasthenia gravis, Neuromyelitis-optica-Spektrum-Erkrankungen (NMOSD)",,Black Triangle,cancer,2020
67278,3,"Ultomiris 1100 mg/11 ml, Konzentrat zur Herstellung einer Infusionslösung",Alexion Pharma GmbH,Biotechnologika,07.15.0.,L04AA43,2020-01-20,2021-09-16,unbegrenzt,A,A,ravulizumabum,"paroxysmale nächtliche Hämoglobinurie (PNH); atypisches Hämolytisch-Urämisches Syndrom (aHUS); generalisierte Myasthenia gravis, Neuromyelitis-optica-Spektrum-Erkrankungen (NMOSD)",,Black Triangle,cancer,2020
67280,1,"Rozlytrek 100 mg, Hartkapseln",Roche Pharma (Schweiz) AG,Synthetika,07.16.1.,L01EX14,2020-11-05,2020-11-05,2028-07-20,A,A,entrectinibum,"Solide Tumoren, nicht-kleinzelliges Bronchialkarzinom (NSCLC)",,Black Triangle,cancer,2020
67280,2,"Rozlytrek 200 mg, Hartkapseln",Roche Pharma (Schweiz) AG,Synthetika,07.16.1.,L01EX14,2020-11-05,2020-11-05,2028-07-20,A,A,entrectinibum,"Solide Tumoren, nicht-kleinzelliges Bronchialkarzinom (NSCLC)",,Black Triangle,cancer,2020
67281,1,"Vitrakvi 25 mg, Kapseln",Bayer (Schweiz) AG,Synthetika,07.16.1.,L01EX12,2020-05-28,2020-05-28,2029-02-19,A,A,larotrectinibum,Behandlung von soliden Tumoren mit NTRK (neurotrophe Tyrosin-Rezeptor-Kinase)-Genfusion,,Black Triangle,cancer,2020
67281,2,"Vitrakvi 100 mg, Kapseln",Bayer (Schweiz) AG,Synthetika,07.16.1.,L01EX12,2020-05-28,2020-05-28,2029-02-19,A,A,larotrectinibum,Behandlung von soliden Tumoren mit NTRK (neurotrophe Tyrosin-Rezeptor-Kinase)-Genfusion,,Black Triangle,cancer,2020
67282,1,"Vitrakvi 20 mg/ml, Lösung zum Einnehmen",Bayer (Schweiz) AG,Synthetika,07.16.1.,L01EX12,2020-05-28,2020-05-28,2029-02-19,A,A,larotrectinibum,Behandlung von soliden Tumoren mit NTRK (neutrophe Tyrosin-Rezeptor-Kinase)-Genfusion,,Black Triangle,cancer,2020
67293,1,"Nerlynx 40 mg, Filmtabletten",Pierre Fabre Pharma SA,Synthetika,07.16.1.,L01EH02,2020-03-20,2020-03-20,unbegrenzt,A,A,neratinibum,Brustkrebs,,,cancer,2020
67294,1,"Ambrisentan-Mepha 5 mg, Lactab",Mepha Pharma AG,Synthetika,02.07.1.,C02KX02,2020-10-27,2020-10-27,unbegrenzt,B,B,ambrisentanum,Pulmonale arterielle Hypertonie,,,appareil_circulatoire,2020
67294,2,"Ambrisentan-Mepha 10 mg, Lactab",Mepha Pharma AG,Synthetika,02.07.1.,C02KX02,2020-10-27,2020-10-27,unbegrenzt,B,B,ambrisentanum,Pulmonale arterielle Hypertonie,,,appareil_circulatoire,2020
67295,1,"Fixaprost, collyre en récipient unidose",THEA Pharma S.A.,Synthetika,11.09.0.,S01ED51,2020-04-17,2020-04-17,unbegrenzt,B,B,"latanoprostum, timololum","Glaucome à angle ouvert, hypertension oculaire",,,autre,2020
67296,1,"Flam-X Dolo forte 2 %, Gel",axapharm ag,Synthetika,07.10.4.,M02AA15,2020-11-19,2020-11-19,unbegrenzt,D,D,diclofenacum natricum,Perkutanes Antiphlogistikum,,,autre,2020
67306,1,"Elmiron 100 mg, Kapseln",Curatis AG,Synthetika,05.02.0.,G04BX15,2020-09-24,2020-09-24,unbegrenzt,B,B,heparinoidum (natrii pentosani polysulfas),Chronische Blasenschmerzen bei Erwachsenen sowie Harndrang und Miktionshäufigkeit,,,autre,2020
67310,1,"Idacio 40 mg/0.8 ml, Injektionslösung im Fertigpen",Fresenius Kabi (Schweiz) AG,Biotechnologika,07.15.0.,L04AB04,2020-03-17,2020-03-17,unbegrenzt,B,B,adalimumabum,"Rheumatoide Arthritis, Polyartikuläre juvenile idiopathische Arthritis, Psoriasis-Arthritis, Ankylosierende Spondylitis, Morbus Crohn, Colitis ulcerosa, Plaque Psoriasis bei Erwachsenen, Hidradenitis suppurativa",,,cancer,2020
67312,1,"Brimo-Vision 2 mg/ml, Augentropfen Lösung im Einzeldosisbehältnis",OmniVision AG,Synthetika,11.09.0.,S01EA05,2020-03-25,2020-03-25,unbegrenzt,B,B,"brimonidini tartras, brimonidinum","Weitwinkelglaukom, okuläre Hypertension",,,autre,2020
67313,1,"Dovato, Filmtabletten",ViiV Healthcare GmbH,Synthetika,08.03.0.,J05AR25,2020-05-01,2020-05-01,unbegrenzt,A,A,"lamivudinum, dolutegravirum",HIV-1 Infektion,,,maladie_infectieuses,2020
67321,1,"Kräuter Menthol Hustenbonbon (2.5 g), Bonbon",Ricola AG,Bonbons,12.03.9.,R05,2020-12-22,2020-12-22,2025-12-21,E,E,"species pectorales, levomentholum",Hilft bei Husten und Heiserkeit,,,appareil_respiratoire,2020
67321,2,"Kräuter Menthol Hustenbonbon (3.6 g), Bonbon",Ricola AG,Bonbons,12.03.9.,R05,2020-12-22,2020-12-22,2025-12-21,E,E,"species pectorales, levomentholum",Hilft bei Husten und Heiserkeit,,,appareil_respiratoire,2020
67323,1,"Intrarosa 6.5 mg, Ovule",Labatec Pharma SA,Synthetika,07.08.,G03XX01,2020-05-19,2020-05-19,unbegrenzt,B,B,prasteronum,Traitement de l’atrophie vulvo-vaginale,,,autre,2020
67350,1,"Nucala 100 mg/mL, Injektionslösung im Fertigpen",GlaxoSmithKline AG,Biotechnologika,03.04.5.,R03DX09,2020-02-13,2020-02-13,unbegrenzt,B,B,mepolizumabum,"Eosinophiles Asthma, EGPA, CRSwNP, HES",,,appareil_respiratoire,2020
67351,1,"Nucala 100 mg/mL, Injektionslösung in der Fertigspritze",GlaxoSmithKline AG,Biotechnologika,03.04.5.,R03DX09,2020-02-13,2020-02-13,unbegrenzt,B,B,mepolizumabum,"Eosinophiles Asthma, EGPA, CRSwNP, HES",,,appareil_respiratoire,2020
67357,1,"Treprostinil OrPha 1 mg/ml, Infusionslösung",OrPha Swiss GmbH,Synthetika,02.07.1.,B01AC21,2020-06-09,2020-06-09,unbegrenzt,B,B,treprostinilum,Primäre und sekundäre pulmonale Hypertonie; chronisch thromboembolische pulmonale Hypertonie (CTEPH),,,appareil_circulatoire,2020
67357,2,"Treprostinil OrPha 2.5 mg/ml, Infusionslösung",OrPha Swiss GmbH,Synthetika,02.07.1.,B01AC21,2020-06-09,2020-06-09,unbegrenzt,B,B,treprostinilum,Primäre und sekundäre pulmonale Hypertonie; chronisch thromboembolische pulmonale Hypertonie (CTEPH),,,appareil_circulatoire,2020
67357,3,"Treprostinil OrPha 5 mg/ml, Infusionslösung",OrPha Swiss GmbH,Synthetika,02.07.1.,B01AC21,2020-06-09,2020-06-09,unbegrenzt,B,B,treprostinilum,Primäre und sekundäre pulmonale Hypertonie; chronisch thromboembolische pulmonale Hypertonie (CTEPH),,,appareil_circulatoire,2020
67357,4,"Treprostinil OrPha 10 mg/ml, Infusionslösung",OrPha Swiss GmbH,Synthetika,02.07.1.,B01AC21,2020-06-09,2020-06-09,unbegrenzt,B,B,treprostinilum,Primäre und sekundäre pulmonale Hypertonie; chronisch thromboembolische pulmonale Hypertonie (CTEPH),,,appareil_circulatoire,2020
67359,2,"Piqray 150 mg, Filmtabletten",Novartis Pharma Schweiz AG,Synthetika,07.16.1.,L01EM03,2020-03-24,2020-03-24,unbegrenzt,A,A,alpelisibum,"In Kombination mit Fulvestrant zur Behandlung von HR-positivem, HER2-negativem fortgeschrittenem Brustkrebs mit einer PIK3CA-Mutation",,,cancer,2020
67359,3,"Piqray 200 mg + 50 mg, Filmtabletten",Novartis Pharma Schweiz AG,Synthetika,07.16.1.,L01EM03,2020-03-24,2020-03-24,unbegrenzt,A,A,alpelisibum,"In Kombination mit Fulvestrant zur Behandlung von HR-positivem, HER2-negativem fortgeschrittenem Brustkrebs mit einer PIK3CA-Mutation",,,cancer,2020
67359,4,"Piqray 200 mg, Filmtabletten",Novartis Pharma Schweiz AG,Synthetika,07.16.1.,L01EM03,2020-03-24,2020-03-24,unbegrenzt,A,A,alpelisibum,"In Kombination mit Fulvestrant zur Behandlung von HR-positivem, HER2-negativem fortgeschrittenem Brustkrebs mit einer PIK3CA-Mutation",,,cancer,2020
67360,1,"Umckaloabo, Sirup",Schwabe Pharma AG,Phytoarzneimittel,03.99.0.,R05X,2020-11-27,2020-11-27,unbegrenzt,D,D,pelargonii radicis extractum ethanolicum fluidum,Symptomatische Behandlung einer akuten Bronchitis,,,appareil_respiratoire,2020
67362,1,"Rasagilin Spirig HC 1 mg, Tabletten",Spirig HealthCare AG,Synthetika,01.08.0.,N04BD02,2020-04-14,2020-04-14,unbegrenzt,B,B,rasagilinum,Morbus Parkinson,,,autre,2020
67366,1,"Posaconazol Accord 40 mg/ml, Suspension zum Einnehmen",Accord Healthcare AG,Synthetika,08.06.0.,J02AC04,2020-01-30,2020-01-30,unbegrenzt,B,B,posaconazolum,Antimykotikum,,,maladie_infectieuses,2020
67368,1,"Dasatinib Sandoz 20 mg, Filmtabletten",Sandoz Pharmaceuticals AG,Synthetika,07.16.1.,L01EA02,2020-10-08,2020-10-08,unbegrenzt,A,A,dasatinibum,"Onkologikum, Multi-Kinase-Hemmer",,,cancer,2020
67368,2,"Dasatinib Sandoz 50 mg, Filmtabletten",Sandoz Pharmaceuticals AG,Synthetika,07.16.1.,L01EA02,2020-10-08,2020-10-08,unbegrenzt,A,A,dasatinibum,"Onkologikum, Multi-Kinase-Hemmer",,,cancer,2020
67368,3,"Dasatinib Sandoz 70 mg, Filmtabletten",Sandoz Pharmaceuticals AG,Synthetika,07.16.1.,L01EA02,2020-10-08,2020-10-08,unbegrenzt,A,A,dasatinibum,"Onkologikum, Multi-Kinase-Hemmer",,,cancer,2020
67368,4,"Dasatinib Sandoz 80 mg, Filmtabletten",Sandoz Pharmaceuticals AG,Synthetika,07.16.1.,L01EA02,2020-10-08,2020-10-08,unbegrenzt,A,A,dasatinibum,"Onkologikum, Multi-Kinase-Hemmer",,,cancer,2020
67368,5,"Dasatinib Sandoz 100 mg, Filmtabletten",Sandoz Pharmaceuticals AG,Synthetika,07.16.1.,L01EA02,2020-10-08,2020-10-08,unbegrenzt,A,A,dasatinibum,"Onkologikum, Multi-Kinase-Hemmer",,,cancer,2020
67368,6,"Dasatinib Sandoz 140 mg, Filmtabletten",Sandoz Pharmaceuticals AG,Synthetika,07.16.1.,L01EA02,2020-10-08,2020-10-08,unbegrenzt,A,A,dasatinibum,"Onkologikum, Multi-Kinase-Hemmer",,,cancer,2020
67371,1,"Luxturna 5 x 10e12, Konzentrat und Lösungsmittel zur Herstellung einer Injektionslösung",Novartis Pharma Schweiz AG,Transplantat: Gentherapieprodukt,,S01XA27,2020-02-14,2020-02-14,unbegrenzt,A,A,voretigenum neparvovecum,"Luxturna wird angewendet zur Behandlung von erwachsenen und pädiatrischen Patienten mit Sehverlust aufgrund einer erblichen Netzhautdystrophie, die auf nachgewiesenen biallelischen RPE65-
Mutationen beruht und über ausreichend lebensfähige Netzhautzellen verfügen.
.",,,autre,2020
67375,1,"Zebinix 200 mg, comprimés",Bial SA,Synthetika,01.07.1.,N03AF04,2020-04-02,2020-04-02,unbegrenzt,B,B,eslicarbazepini acetas,antiépileptique,,,autre,2020
67375,2,"Zebinix 800 mg, comprimés",Bial SA,Synthetika,01.07.1.,N03AF04,2020-04-02,2020-04-02,unbegrenzt,B,B,eslicarbazepini acetas,antiépileptique,,,autre,2020
67376,1,"Carbaglu 200 mg, Tabletten zur Herstellung einer Suspension zum Einnehmen",RECORDATI AG,Synthetika,07.99.0.,A16AA05,2020-07-28,2020-07-28,unbegrenzt,B,B,acidum carglumicum,Hyperammonämie,,Black Triangle,autre,2020
67380,1,"Cystadrops 3.8 mg/ml, Augentropfen",RECORDATI AG,Synthetika,07.99.0.,S01XA21,2020-09-24,2020-09-24,unbegrenzt,B,B,mercaptaminum,Cystinablagerungen in der Hornhaut,,,autre,2020
67383,1,"Co-Amoxicillin Devatis 457 (400 mg / 57 mg) , Pulver zur Herstellung einer Suspension zum Einnehmen",Devatis AG,Synthetika,08.01.93,J01CR02,2020-05-07,2020-05-07,unbegrenzt,A,A,"amoxicillinum anhydricum, acidum clavulanicum",Infektionskrankheiten,,,maladie_infectieuses,2020
