numero_autorisation,numero_dosage,denomination_medicament,titulaire_autorisation,categorie_medicament,numero_it,code_atc,date_premiere_autorisation,date_autorisation_dosage,duree_validite_amm,categorie_remise_dosage,categorie_remise_medicament,principes_actifs,champ_application_medicament,champ_application_dosage,indications_particulieres,cause_mortalite,annee
54534,4,"Tebokan 240, Filmtabletten",Schwabe Pharma AG,Phytoarzneimittel,02.97.0.,N06DX02,2000-12-19,2016-04-20,unbegrenzt,B,B,"ginkgonis extractum siccum raffinatum et quantificatum (Ginkgo biloba L., folium)",Bei nachlassender geistiger Leistungsfähigkeit; bei Claudicatio intermittens; bei Vertigo und Tinnitus,,,autre,2000
54590,1,"Maxalt 5 mg, Tabletten",Organon GmbH,Synthetika,02.05.1.,N02CC04,2000-06-27,2000-06-27,unbegrenzt,B,B,rizatriptanum,Akutbehandlung von Migräneanfällen mit oder ohne Aura,,,autre,2000
54590,2,"Maxalt 10 mg, Tabletten",Organon GmbH,Synthetika,02.05.1.,N02CC04,2000-06-27,2000-06-27,unbegrenzt,B,B,rizatriptanum,Akutbehandlung von Migräneanfällen mit oder ohne Aura,,,autre,2000
54591,1,"Maxalt lingual 5 mg, Schmelztabletten",Organon GmbH,Synthetika,02.05.1.,N02CC04,2000-06-27,2000-06-27,unbegrenzt,B,B,rizatriptanum,Akutbehandlung von Migräneanfällen mit oder ohne Aura,,,autre,2000
54591,2,"Maxalt lingual 10 mg, Schmelztabletten",Organon GmbH,Synthetika,02.05.1.,N02CC04,2000-06-27,2000-06-27,unbegrenzt,B,B,rizatriptanum,Akutbehandlung von Migräneanfällen mit oder ohne Aura,,,autre,2000
54597,1,"Evista 60 mg, comprimés filmés",Leman SKL SA,Synthetika,07.09.0.,G03XC01,2000-03-30,2000-03-30,unbegrenzt,B,B,raloxifenum,Traitement et prévention de l’ostéoporose chez les femmes postménopausées,,,autre,2000
54658,2,"Redoxon + Zinc, Brausetabletten",Bayer (Schweiz) AG,Synthetika,07.02.51,A11GB,2000-05-10,2013-08-13,unbegrenzt,D,D,"acidum ascorbicum, zincum",Vitamin- und Mineralstoffpräparat,,,autre,2000
54659,1,"Redoxon + Zinc, Kautabletten",Bayer (Schweiz) AG,Synthetika,07.02.51,A11GB,2000-05-10,2000-05-10,unbegrenzt,D,D,"acidum ascorbicum, zincum",Vitamin- und Mineralstoffpräparat,,,autre,2000
54745,1,"Beromun, Pulver zur Herstellung einer Infusionslösung",Eumedica Pharmaceuticals AG,Biotechnologika,07.16.1.,L03AX11,2000-11-16,2000-11-16,unbegrenzt,A,A,tasonerminum,Weichteil-Sarkom,,,cancer,2000
54752,2,"Ketesse 25, Filmtabletten",A. Menarini GmbH,Synthetika,07.10.1.,M01AE17,2000-06-23,2000-06-23,unbegrenzt,B,B,dexketoprofenum,Nichtsteroidales Analgetikum/Antirheumatikum,,,autre,2000
54767,1,"Seractil 200 mg, Filmtabletten",Gebro Pharma AG,Synthetika,07.10.1.,M01AE14,2000-06-28,2000-06-28,unbegrenzt,B,B,dexibuprofenum,"Antirheumatikum, Antiphlogistikum",,,autre,2000
54767,2,"Seractil 300 mg, Filmtabletten",Gebro Pharma AG,Synthetika,07.10.1.,M01AE14,2000-06-28,2000-06-28,unbegrenzt,B,B,dexibuprofenum,"Antirheumatikum, Antiphlogistikum",,,autre,2000
54767,3,"Seractil 400 mg forte, Filmtabletten",Gebro Pharma AG,Synthetika,07.10.1.,M01AE14,2000-06-28,2000-06-28,unbegrenzt,B,B,dexibuprofenum,"Antirheumatikum, Antiphlogistikum",,,autre,2000
54793,1,"Qvar Autohaler 50 µg, Dosier-Aerosol",Teva Pharma AG,Synthetika,03.04.4.,R03BA01,2000-12-27,2000-12-27,unbegrenzt,B,B,beclometasoni dipropionas,Antiasthmatikum,,,appareil_respiratoire,2000
54793,2,"Qvar Autohaler 100 µg, Dosier-Aerosol",Teva Pharma AG,Synthetika,03.04.4.,R03BA01,2000-12-27,2000-12-27,unbegrenzt,B,B,beclometasoni dipropionas,Antiasthmatikum,,,appareil_respiratoire,2000
54915,1,"Colistin zur Inhalation 1 Mio U.I., Pulver und Lösungsmittel zur Herstellung einer Lösung für einen Vernebler",Teva Pharma AG,Synthetika,08.01.9.,J01XB01,2000-04-26,2000-04-26,unbegrenzt,A,A,colistimethatum natricum,Infektionskrankheiten,,,maladie_infectieuses,2000
54915,2,"Colistin zur Inhalation 2 Mio U.I., Pulver und Lösungsmittel zur Herstellung einer Lösung für einen Vernebler",Teva Pharma AG,Synthetika,08.01.9.,J01XB01,2000-04-26,2019-08-12,unbegrenzt,A,A,colistimethatum natricum,Infektionskrankheiten,,,maladie_infectieuses,2000
54941,1,"Schweden-Mixtur H, Flüssigkeit zum Einnehmen",Hänseler AG,Phytoarzneimittel,04.08.14,A06AB20,2000-11-17,2000-11-17,unbegrenzt,B/D,B/D,"aloe barbadensis et capensis, sennae folium, rhei radix",Bei gelegentlicher Verstopfung,,,autre,2000
54976,1,"Neurontin 600, Filmtabletten",Viatris Pharma GmbH,Synthetika,01.07.1.,N02BF01,2000-08-09,2000-08-09,unbegrenzt,B,B,gabapentinum,Antiepilepticum,,,autre,2000
54976,2,"Neurontin 800, Filmtabletten",Viatris Pharma GmbH,Synthetika,01.07.1.,N02BF01,2000-08-09,2000-08-09,unbegrenzt,B,B,gabapentinum,Antiepilepticum,,,autre,2000
54989,2,"Tamec 20 mg, Filmtabletten",Sandoz Pharmaceuticals AG,Synthetika,07.16.2.,L02BA01,2000-03-30,2000-03-30,unbegrenzt,A,A,tamoxifenum,Oncologicum,,,cancer,2000
55024,1,"Voltaren Dolo, Filmtabletten",Haleon Schweiz AG,Synthetika,07.10.1.,M01AB05,2000-07-11,2000-07-11,unbegrenzt,D,D,diclofenacum kalicum,Analgetikum,,,autre,2000
55057,1,"Dysport 500U, Pulver zur Herstellung einer Injektionslösung",IPSEN Pharma Schweiz GmbH,Biotechnologika,01.13.0.,M03AX01,2000-08-24,2000-08-24,unbegrenzt,A,A,complexus toxini botulinici A et haemagglutinini,"Symptomatische Behandlung von Blepharospasmus, Spasmus hemifacialis und assoziierten fokalen Dystonien, Torticollis spasticus, fokaler Spastik der oberen Extremitäten bei Patienten ab 2 Jahren, fokaler Spastik der unteren Extremitäten bei Patienten ab 2 Jahren, axillärer Hyperhidrose, Behandlung der Harninkontinenz",,,autre,2000
